SNo,ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
1,4/10/2021,,Pakistan,1/22/2020 17:00,721018,15443,631700
2,4/11/2021,,Pakistan,1/23/2020 17:00,725602,15501,634835
3,4/12/2021,,Pakistan,1/24/2020 17:00,729920,15619,638267
4,4/13/2021,,Pakistan,1/25/2020 17:00,734423,15754,641912
5,4/14/2021,,Pakistan,1/26/2020 17:00,739818,15872,646652
6,4/15/2021,,Pakistan,1/27/2020 17:00,745182,15982,650775
7,4/16/2021,,Pakistan,1/28/2020 17:00,750158,16094,654956
8,4/17/2021,,Pakistan,1/29/2020 17:00,756285,16243,659483
9,4/18/2021,,Pakistan,1/30/2020 17:00,761437,16316,662845
10,4/19/2021,,Pakistan,1/31/2020 17:00,766882,16453,667131
11,4/20/2021,,Pakistan,2/1/2020 17:00,772381,16600,672619
12,4/21/2021,,Pakistan,2/2/2020 17:00,778238,16698,676605
13,4/22/2021,,Pakistan,2/3/2020 17:00,784108,16842,682290
14,4/23/2021,,Pakistan,2/4/2020 17:00,790016,16999,686488
15,4/24/2021,,Pakistan,2/5/2020 17:00,795627,17117,689812
16,4/25/2021,,Pakistan,2/6/2020 17:00,800452,17187,694046
17,4/26/2021,,Pakistan,2/7/2020 17:00,804939,17329,699816
18,4/27/2021,,Pakistan,2/8/2020 17:00,810231,17530,704494
19,4/28/2021,,Pakistan,2/9/2020 17:00,815711,17680,708193
20,4/29/2021,,Pakistan,2/10/2020 17:00,820823,17811,711465
21,4/30/2021,,Pakistan,2/11/2020 17:00,825519,17957,717009
22,5/1/2021,,Pakistan,2/12/2020 17:00,829933,18070,722202
23,5/2/2021,,Pakistan,2/13/2020 17:00,834146,18149,728044
24,5/3/2021,,Pakistan,2/14/2020 17:00,837523,18310,733062
25,5/4/2021,,Pakistan,2/15/2020 17:00,837523,18310,733062
26,5/5/2021,,Pakistan,2/16/2020 17:00,841636,18429,738727
27,5/6/2021,,Pakistan,2/17/2020 17:00,850131,18677,747755
28,5/7/2021,,Pakistan,2/18/2020 17:00,854240,18797,752712
29,5/8/2021,,Pakistan,2/19/2020 17:00,858026,18915,757281
30,5/9/2021,,Pakistan,2/20/2020 17:00,861473,18993,762105
31,5/10/2021,,Pakistan,2/21/2020 17:00,864557,19106,766492
32,5/11/2021,,Pakistan,2/22/2020 17:00,867438,19210,771692
33,5/12/2021,,Pakistan,2/23/2020 17:00,870703,19336,776315
34,5/13/2021,,Pakistan,2/24/2020 17:00,873220,19384,780438
35,5/14/2021,,Pakistan,2/25/2020 17:00,874751,19467,783480
36,5/15/2021,,Pakistan,2/26/2020 17:00,877130,19543,788768
37,5/16/2021,,Pakistan,2/27/2020 17:00,880362,19617,792522
38,5/17/2021,,Pakistan,2/28/2020 17:00,882928,19752,795511
39,5/18/2021,,Pakistan,2/29/2020 17:00,886184,19856,799951
40,5/19/2021,,Pakistan,3/1/2020 17:00,890391,19987,804122
41,5/20/2021,,Pakistan,3/2/2020 17:00,893461,20089,810143
42,5/21/2021,,Pakistan,3/3/2020 17:00,897468,20177,813855
43,5/22/2021,,Pakistan,3/4/2020 17:00,900552,20251,817681
44,5/23/2021,,Pakistan,3/5/2020 17:00,903599,20308,820374
45,5/24/2021,,Pakistan,3/6/2020 17:00,905852,20400,823157
46,5/25/2021,,Pakistan,3/7/2020 17:00,908576,20465,827843
47,5/26/2021,,Pakistan,3/8/2020 17:00,911302,20540,831744
48,5/27/2021,,Pakistan,3/9/2020 17:00,913784,20607,834566
49,5/28/2021,,Pakistan,3/10/2020 17:00,916239,20680,836702
50,5/29/2021,,Pakistan,3/11/2020 17:00,918936,20736,839322
51,5/30/2021,,Pakistan,3/12/2020 17:00,921053,20779,841241
52,5/31/2021,,Pakistan,3/13/2020 17:00,922824,20850,844638
53,6/1/2021,,Pakistan,3/14/2020 17:00,924667,20930,848685
54,6/2/2021,,Pakistan,3/15/2020 17:00,926695,21022,852574
55,6/3/2021,,Pakistan,3/16/2020 17:00,928588,21105,856005
56,6/4/2021,,Pakistan,3/17/2020 17:00,930511,21189,860385
57,6/5/2021,,Pakistan,3/18/2020 17:00,932140,21265,863111
58,6/6/2021,,Pakistan,3/19/2020 17:00,933630,21323,864931
59,6/7/2021,,Pakistan,3/20/2020 17:00,935013,21376,867447
60,6/8/2021,,Pakistan,3/21/2020 17:00,936131,21453,869691
61,6/9/2021,,Pakistan,3/22/2020 17:00,937434,21529,871669
62,6/10/2021,,Pakistan,3/23/2020 17:00,938737,21576,873543
63,6/11/2021,,Pakistan,3/24/2020 17:00,939931,21633,875581
64,6/12/2021,,Pakistan,3/25/2020 17:00,941170,21689,877191
65,6/13/2021,,Pakistan,3/26/2020 17:00,942189,21723,878740
66,6/14/2021,,Pakistan,3/27/2020 17:00,943027,21782,880316
67,6/15/2021,,Pakistan,3/28/2020 17:00,944065,21828,882332
68,6/16/2021,,Pakistan,3/29/2020 17:00,945184,21874,887095
69,6/17/2021,,Pakistan,3/30/2020 17:00,946227,21913,888505
70,6/18/2021,,Pakistan,3/31/2020 17:00,947218,21940,889787
71,6/19/2021,,Pakistan,4/1/2020 17:00,947218,21940,889787
72,6/20/2021,,Pakistan,4/2/2020 17:00,949175,22007,893148
73,6/21/2021,,Pakistan,4/3/2020 17:00,949838,22034,894352
74,6/22/2021,,Pakistan,4/4/2020 17:00,950768,22073,895690
75,6/23/2021,,Pakistan,4/5/2020 17:00,951865,22108,896821
76,6/24/2021,,Pakistan,4/6/2020 17:00,952907,22152,897834
77,6/25/2021,,Pakistan,4/7/2020 17:00,953842,22188,898944
78,6/26/2021,,Pakistan,4/8/2020 17:00,954743,22211,900291
79,6/27/2021,,Pakistan,4/9/2020 17:00,955657,22231,901201
80,6/28/2021,,Pakistan,4/10/2020 17:00,956392,22254,901985
81,6/29/2021,,Pakistan,4/11/2020 17:00,957371,22281,903484
82,6/30/2021,,Pakistan,4/12/2020 17:00,958408,22321,904320
83,7/1/2021,,Pakistan,4/13/2020 17:00,959685,22345,905430
84,7/2/2021,,Pakistan,4/14/2020 17:00,961085,22379,906387
85,7/3/2021,,Pakistan,4/15/2020 17:00,962313,22408,907284
86,7/4/2021,,Pakistan,4/16/2020 17:00,963660,22427,907934
87,7/5/2021,,Pakistan,4/17/2020 17:00,964490,22452,908648
88,7/6/2021,,Pakistan,4/18/2020 17:00,966007,22469,909525
89,7/7/2021,,Pakistan,4/19/2020 17:00,967633,22493,910609
90,7/8/2021,,Pakistan,4/20/2020 17:00,969476,22520,911383
91,7/9/2021,,Pakistan,4/21/2020 17:00,971304,22555,912295
92,7/10/2021,,Pakistan,4/22/2020 17:00,973284,22582,913203
93,7/11/2021,,Pakistan,4/23/2020 17:00,975092,22597,913873
94,7/12/2021,,Pakistan,4/24/2020 17:00,976867,22618,914605
95,7/13/2021,,Pakistan,4/25/2020 17:00,978847,22642,915343
96,7/14/2021,,Pakistan,4/26/2020 17:00,981392,22689,916373
97,7/15/2021,,Pakistan,4/27/2020 17:00,983719,22720,917329
98,7/16/2021,,Pakistan,4/28/2020 17:00,986668,22760,918329
99,7/17/2021,,Pakistan,4/29/2020 17:00,989275,22781,919163
100,7/18/2021,,Pakistan,4/30/2020 17:00,991727,22811,920066
101,7/19/2021,,Pakistan,5/1/2020 17:00,993872,22848,921095
102,7/20/2021,,Pakistan,5/2/2020 17:00,996451,22888,922034
103,7/21/2021,,Pakistan,5/3/2020 17:00,998609,22928,922929
104,7/22/2021,,Pakistan,5/4/2020 17:00,1000034,22939,923472
105,7/23/2021,,Pakistan,5/5/2020 17:00,1000034,22939,923472
106,7/23/2021,,Pakistan,5/6/2020 17:00,1000034,22939,923472
107,7/24/2021,,Pakistan,5/7/2020 17:00,1004694,23016,925958
108,7/25/2021,,Pakistan,5/8/2020 17:00,1008446,23048,927599
109,7/26/2021,,Pakistan,5/9/2020 17:00,1011708,23087,928722
110,7/27/2021,,Pakistan,5/10/2020 17:00,1015827,23133,935742
111,7/28/2021,,Pakistan,5/11/2020 17:00,1020324,23209,937354
112,7/29/2021,,Pakistan,5/12/2020 17:00,1024861,23295,938843
113,7/30/2021,,Pakistan,5/13/2020 17:00,1029811,23360,940164
114,7/31/2021,,Pakistan,5/14/2020 17:00,1034837,23422,941659
115,8/1/2021,,Pakistan,5/15/2020 17:00,1039695,23462,943020
116,8/2/2021,,Pakistan,5/16/2020 17:00,1043277,23529,944375
117,8/3/2021,,Pakistan,5/17/2020 17:00,1047999,23575,945829
118,8/4/2021,,Pakistan,5/18/2020 17:00,1053660,23635,952616
119,8/5/2021,,Pakistan,5/19/2020 17:00,1058405,23702,0
120,8/6/2021,,Pakistan,5/20/2020 17:00,1063125,23797,0
121,8/7/2021,,Pakistan,5/21/2020 17:00,1067580,23865,0
122,8/8/2021,,Pakistan,5/22/2020 17:00,1071620,23918,0
123,8/9/2021,,Pakistan,5/23/2020 17:00,1075504,24004,0
124,8/10/2021,,Pakistan,5/24/2020 17:00,1080360,24085,0
125,8/11/2021,,Pakistan,5/25/2020 17:00,1085294,24187,0
126,8/12/2021,,Pakistan,5/26/2020 17:00,1089913,24266,0
127,8/13/2021,,Pakistan,5/27/2020 17:00,1094699,24339,0
128,8/14/2021,,Pakistan,5/28/2020 17:00,1098410,24406,0
129,8/15/2021,,Pakistan,5/29/2020 17:00,1102079,24478,0
130,8/16/2021,,Pakistan,5/30/2020 17:00,1105300,24573,0
131,8/17/2021,,Pakistan,5/31/2020 17:00,1109274,24639,0
132,8/18/2021,,Pakistan,6/1/2020 17:00,1113647,24713,0
133,8/19/2021,,Pakistan,6/2/2020 17:00,1116886,24783,0
134,8/20/2021,,Pakistan,6/3/2020 17:00,1119970,24848,0
135,8/21/2021,,Pakistan,6/4/2020 17:00,1123812,24923,0
136,8/22/2021,,Pakistan,6/5/2020 17:00,1127584,25003,0
137,8/23/2021,,Pakistan,6/6/2020 17:00,1131659,25094,0
138,8/24/2021,,Pakistan,6/7/2020 17:00,1135858,25220,0
139,8/25/2021,,Pakistan,6/8/2020 17:00,1140411,25320,0
140,8/26/2021,,Pakistan,6/9/2020 17:00,1144341,25415,0
141,8/27/2021,,Pakistan,6/10/2020 17:00,1148572,25535,0
142,8/28/2021,,Pakistan,6/11/2020 17:00,1152481,25604,0
143,8/29/2021,,Pakistan,6/12/2020 17:00,1156281,25670,0
144,8/30/2021,,Pakistan,6/13/2020 17:00,1160119,25788,0
145,8/31/2021,,Pakistan,6/14/2020 17:00,1163688,25889,0
146,9/1/2021,,Pakistan,6/15/2020 17:00,1167757,25978,0
147,9/2/2021,,Pakistan,6/16/2020 17:00,1171578,26035,0
148,9/3/2021,,Pakistan,6/17/2020 17:00,1171578,26035,0
149,9/4/2021,,Pakistan,6/18/2020 17:00,1179305,26175,0
150,9/5/2021,,Pakistan,6/19/2020 17:00,1182918,26232,0
151,9/6/2021,,Pakistan,6/20/2020 17:00,1186234,26330,0
152,9/7/2021,,Pakistan,6/21/2020 17:00,1190136,26413,0
153,9/8/2021,,Pakistan,6/22/2020 17:00,1194198,26497,0
154,9/9/2021,,Pakistan,6/23/2020 17:00,1197887,26580,0
155,9/10/2021,,Pakistan,6/24/2020 17:00,1201367,26662,0
156,9/11/2021,,Pakistan,6/25/2020 17:00,1204520,26720,0
157,9/12/2021,,Pakistan,6/26/2020 17:00,1207508,26787,0
158,9/13/2021,,Pakistan,6/27/2020 17:00,1210082,26865,0
159,9/14/2021,,Pakistan,6/28/2020 17:00,1212809,26938,0
160,9/15/2021,,Pakistan,6/29/2020 17:00,1215821,27004,0
161,9/16/2021,,Pakistan,6/30/2020 17:00,1218749,27072,0
162,9/17/2021,,Pakistan,7/1/2020 17:00,1221261,27135,0
163,9/18/2021,,Pakistan,7/2/2020 17:00,1223841,27206,0
164,9/19/2021,,Pakistan,7/3/2020 17:00,1226008,27246,0
165,9/20/2021,,Pakistan,7/4/2020 17:00,1227905,27327,0
166,9/21/2021,,Pakistan,7/5/2020 17:00,1230238,27374,0
167,9/22/2021,,Pakistan,7/6/2020 17:00,1232595,27432,0
168,9/23/2021,,Pakistan,7/7/2020 17:00,1234828,27482,0
169,9/24/2021,,Pakistan,7/8/2020 17:00,1236888,27524,0
170,9/25/2021,,Pakistan,7/9/2020 17:00,1238668,27566,0
171,9/26/2021,,Pakistan,7/10/2020 17:00,1240425,27597,0
172,9/27/2021,,Pakistan,7/11/2020 17:00,1241825,27638,0
173,9/28/2021,,Pakistan,7/12/2020 17:00,1243385,27690,0
174,9/29/2021,,Pakistan,7/13/2020 17:00,1245127,27729,0
