SNo,ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
593,10/9/2021,,Pakistan,3/10/2022 17:00,1258015,28106,0
594,10/10/2021,,Pakistan,3/11/2022 17:00,1258959,28134,0
595,10/11/2021,,Pakistan,3/12/2022 17:00,1259648,28152,0
596,10/12/2021,,Pakistan,3/13/2022 17:00,1260669,28173,0
597,10/13/2021,,Pakistan,3/14/2022 17:00,1261685,28201,0
598,10/14/2021,,Pakistan,3/15/2022 17:00,1262771,28228,0
599,10/15/2021,,Pakistan,3/16/2022 17:00,1263664,28252,0
600,10/16/2021,,Pakistan,3/17/2022 17:00,1264384,28269,0
601,10/17/2021,,Pakistan,3/18/2022 17:00,1265047,28280,0
602,10/18/2021,,Pakistan,3/19/2022 17:00,1265650,28300,0
603,10/19/2021,,Pakistan,3/20/2022 17:00,1266204,28312,0
604,10/20/2021,,Pakistan,3/21/2022 17:00,1266826,28328,0
605,10/21/2021,,Pakistan,3/22/2022 17:00,1267393,28344,0
606,10/22/2021,,Pakistan,3/23/2022 17:00,1267945,28359,0
607,10/23/2021,,Pakistan,3/24/2022 17:00,1268536,28377,0
608,10/24/2021,,Pakistan,3/25/2022 17:00,1269234,28386,0
609,10/25/2021,,Pakistan,3/26/2022 17:00,1269806,28392,0
610,10/26/2021,,Pakistan,3/27/2022 17:00,1270322,28405,0
611,10/27/2021,,Pakistan,3/28/2022 17:00,1271027,28414,0
612,10/28/2021,,Pakistan,3/29/2022 17:00,1271687,28431,0
613,10/29/2021,,Pakistan,3/30/2022 17:00,1272345,28439,0
614,10/30/2021,,Pakistan,3/31/2022 17:00,1273078,28449,0
615,10/31/2021,,Pakistan,4/1/2022 17:00,1273560,28456,0
616,11/1/2021,,Pakistan,4/2/2022 17:00,1274017,28466,0
617,11/2/2021,,Pakistan,4/3/2022 17:00,1274578,28477,0
618,11/3/2021,,Pakistan,4/4/2022 17:00,1275158,28496,0
619,11/4/2021,,Pakistan,4/5/2022 17:00,1275673,28507,0
620,11/5/2021,,Pakistan,4/6/2022 17:00,1276240,28518,0
621,11/6/2021,,Pakistan,4/7/2022 17:00,1276711,28538,0
622,11/7/2021,,Pakistan,4/8/2022 17:00,1277160,28547,0
623,11/8/2021,,Pakistan,4/9/2022 17:00,1277560,28558,0
624,11/9/2021,,Pakistan,4/10/2022 17:00,1278114,28566,0
625,11/10/2021,,Pakistan,4/11/2022 17:00,1278751,28575,0
626,11/11/2021,,Pakistan,4/12/2022 17:00,1279142,28584,0
627,11/12/2021,,Pakistan,4/13/2022 17:00,1279373,28595,0
628,11/13/2021,,Pakistan,4/14/2022 17:00,1279373,28595,0
629,11/14/2021,,Pakistan,4/15/2022 17:00,1279876,28612,0
630,11/15/2021,,Pakistan,4/16/2022 17:00,1280092,28618,0
631,11/16/2021,,Pakistan,4/17/2022 17:00,1280362,28628,0
632,11/17/2021,,Pakistan,4/18/2022 17:00,1280822,28638,0
633,11/18/2021,,Pakistan,4/19/2022 17:00,1281240,28648,0
634,11/19/2021,,Pakistan,4/20/2022 17:00,1281559,28655,0
635,11/20/2021,,Pakistan,4/21/2022 17:00,1281872,28659,0
