SNo,ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
1,10/9/2021,,Pakistan,7/23/2020 17:00,1258015,28106,0
2,10/10/2021,,Pakistan,7/24/2020 17:00,1258959,28134,0
3,10/11/2021,,Pakistan,7/25/2020 17:00,1259648,28152,0
4,10/12/2021,,Pakistan,7/26/2020 17:00,1260669,28173,0
5,10/13/2021,,Pakistan,7/27/2020 17:00,1261685,28201,0
6,10/14/2021,,Pakistan,7/28/2020 17:00,1262771,28228,0
7,10/15/2021,,Pakistan,7/29/2020 17:00,1263664,28252,0
8,10/16/2021,,Pakistan,7/30/2020 17:00,1264384,28269,0
9,10/17/2021,,Pakistan,7/31/2020 17:00,1265047,28280,0
10,10/18/2021,,Pakistan,8/1/2020 17:00,1265650,28300,0
11,10/19/2021,,Pakistan,8/2/2020 17:00,1266204,28312,0
12,10/20/2021,,Pakistan,8/3/2020 17:00,1266826,28328,0
13,10/21/2021,,Pakistan,8/4/2020 17:00,1267393,28344,0
14,10/22/2021,,Pakistan,8/5/2020 17:00,1267945,28359,0
15,10/23/2021,,Pakistan,8/6/2020 17:00,1268536,28377,0
16,10/24/2021,,Pakistan,8/7/2020 17:00,1269234,28386,0
17,10/25/2021,,Pakistan,8/8/2020 17:00,1269806,28392,0
18,10/26/2021,,Pakistan,8/9/2020 17:00,1270322,28405,0
19,10/27/2021,,Pakistan,8/10/2020 17:00,1271027,28414,0
20,10/28/2021,,Pakistan,8/11/2020 17:00,1271687,28431,0
21,10/29/2021,,Pakistan,8/12/2020 17:00,1272345,28439,0
22,10/30/2021,,Pakistan,8/13/2020 17:00,1273078,28449,0
23,10/31/2021,,Pakistan,8/14/2020 17:00,1273560,28456,0
24,11/1/2021,,Pakistan,8/15/2020 17:00,1274017,28466,0
25,11/2/2021,,Pakistan,8/16/2020 17:00,1274578,28477,0
26,11/3/2021,,Pakistan,8/17/2020 17:00,1275158,28496,0
27,11/4/2021,,Pakistan,8/18/2020 17:00,1275673,28507,0
28,11/5/2021,,Pakistan,8/19/2020 17:00,1276240,28518,0
29,11/6/2021,,Pakistan,8/20/2020 17:00,1276711,28538,0
30,11/7/2021,,Pakistan,8/21/2020 17:00,1277160,28547,0
31,11/8/2021,,Pakistan,8/22/2020 17:00,1277560,28558,0
32,11/9/2021,,Pakistan,8/23/2020 17:00,1278114,28566,0
33,11/10/2021,,Pakistan,8/24/2020 17:00,1278751,28575,0
34,11/11/2021,,Pakistan,8/25/2020 17:00,1279142,28584,0
35,11/12/2021,,Pakistan,8/26/2020 17:00,1279373,28595,0
36,11/13/2021,,Pakistan,8/27/2020 17:00,1279373,28595,0
37,11/14/2021,,Pakistan,8/28/2020 17:00,1279876,28612,0
38,11/15/2021,,Pakistan,8/29/2020 17:00,1280092,28618,0
39,11/16/2021,,Pakistan,8/30/2020 17:00,1280362,28628,0
40,11/17/2021,,Pakistan,8/31/2020 17:00,1280822,28638,0
41,11/18/2021,,Pakistan,9/1/2020 17:00,1281240,28648,0
42,11/19/2021,,Pakistan,9/2/2020 17:00,1281559,28655,0
43,11/20/2021,,Pakistan,9/3/2020 17:00,1281872,28659,0
44,11/21/2021,,Pakistan,9/4/2020 17:00,1282195,28663,0
45,11/22/2021,,Pakistan,9/5/2020 17:00,1282510,28668,0
46,11/23/2021,,Pakistan,9/6/2020 17:00,1282860,28677,0
47,11/24/2021,,Pakistan,9/7/2020 17:00,1283223,28690,0
48,11/25/2021,,Pakistan,9/8/2020 17:00,1283475,28697,0
49,11/26/2021,,Pakistan,9/9/2020 17:00,1283886,28704,0
50,11/27/2021,,Pakistan,9/10/2020 17:00,1284189,28709,0
51,11/28/2021,,Pakistan,9/11/2020 17:00,1284365,28718,0
52,11/29/2021,,Pakistan,9/12/2020 17:00,1284840,28728,0
53,11/30/2021,,Pakistan,9/13/2020 17:00,1285254,28737,0
54,12/1/2021,,Pakistan,9/14/2020 17:00,1285631,28745,0
55,12/2/2021,,Pakistan,9/15/2020 17:00,1286022,28753,0
