SNo,ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
,2/27/20,,Pakistan,,2,0,0
,2/28/20,,Pakistan,,4,0,0
,2/29/20,,Pakistan,,4,0,0
,03-01-2020,,Pakistan,,4,0,0
,03-02-2020,,Pakistan,,5,0,0
,03-03-2020,,Pakistan,,5,0,0
,03-04-2020,,Pakistan,,5,0,0
,03-05-2020,,Pakistan,,6,0,0
,03-06-2020,,Pakistan,,6,0,0
,03-07-2020,,Pakistan,,6,0,1
,03-08-2020,,Pakistan,,6,0,1
,03-09-2020,,Pakistan,,16,0,1
,03-10-2020,,Pakistan,,19,0,2
,03-11-2020,,Pakistan,,20,0,2
,03-12-2020,,Pakistan,,28,0,2
,3/13/20,,Pakistan,,31,0,2
,3/14/20,,Pakistan,,53,0,2
,3/15/20,,Pakistan,,136,0,2
,3/16/20,,Pakistan,,236,0,2
,3/17/20,,Pakistan,,299,0,2
,3/18/20,,Pakistan,,454,2,13
,3/19/20,,Pakistan,,501,3,13
,3/20/20,,Pakistan,,730,3,13
,3/21/20,,Pakistan,,776,5,5
,3/22/20,,Pakistan,,875,6,5
,3/23/20,,Pakistan,,972,7,18
,3/24/20,,Pakistan,,1063,8,21
,3/25/20,,Pakistan,,1201,9,21
,3/26/20,,Pakistan,,1373,11,23
,3/27/20,,Pakistan,,1495,12,29
,3/28/20,,Pakistan,,1597,14,29
,3/29/20,,Pakistan,,1717,21,76
,3/30/20,,Pakistan,,1938,26,76
,3/31/20,,Pakistan,,2118,27,94
,04-01-2020,,Pakistan,,2421,34,125
,04-02-2020,,Pakistan,,2686,40,126
,04-03-2020,,Pakistan,,2818,41,131
,04-04-2020,,Pakistan,,3157,47,211
,04-05-2020,,Pakistan,,3766,53,259
,04-06-2020,,Pakistan,,4035,57,429
,04-07-2020,,Pakistan,,4263,61,467
,04-08-2020,,Pakistan,,4489,65,572
,04-09-2020,,Pakistan,,4695,66,727
,04-10-2020,,Pakistan,,5011,86,762
,04-11-2020,,Pakistan,,5230,91,1028
,04-12-2020,,Pakistan,,5496,93,1095
,4/13/20,,Pakistan,,5837,96,1378
,4/14/20,,Pakistan,,6383,111,1446
,4/15/20,,Pakistan,,6919,128,1645
,4/16/20,,Pakistan,,7025,135,1765
,4/17/20,,Pakistan,,7638,143,1832
,4/18/20,,Pakistan,,8348,168,1868
,4/19/20,,Pakistan,,8418,176,1970
,4/20/20,,Pakistan,,9565,201,2073
,4/21/20,,Pakistan,,10076,212,2156
,4/22/20,,Pakistan,,11155,237,2527
,4/23/20,,Pakistan,,11940,253,2755
,4/24/20,,Pakistan,,12723,269,2866
,4/25/20,,Pakistan,,13328,281,2936
,4/26/20,,Pakistan,,13915,292,3029
,4/27/20,,Pakistan,,14612,312,3233
,4/28/20,,Pakistan,,15525,343,3425
,4/29/20,,Pakistan,,16817,385,4315
,4/30/20,,Pakistan,,18114,417,4715
,05-01-2020,,Pakistan,,19103,440,4817
,05-02-2020,,Pakistan,,20084,457,5114
,05-03-2020,,Pakistan,,20941,476,5635
,05-04-2020,,Pakistan,,22049,514,5801
,05-05-2020,,Pakistan,,24073,564,6464
,05-06-2020,,Pakistan,,24644,585,6464
,05-07-2020,,Pakistan,,26435,599,7530
,05-08-2020,,Pakistan,,28736,636,7809
,05-09-2020,,Pakistan,,30334,659,8063
,05-10-2020,,Pakistan,,32081,706,8555
,05-11-2020,,Pakistan,,34336,737,8812
,05-12-2020,,Pakistan,,35298,761,8899
,5/13/20,,Pakistan,,35788,770,9695
,5/14/20,,Pakistan,,38799,834,10880
,5/15/20,,Pakistan,,38799,834,10880
,5/16/20,,Pakistan,,40151,873,11341
,5/17/20,,Pakistan,,42125,903,11922
,5/18/20,,Pakistan,,43966,939,12489
,5/19/20,,Pakistan,,45898,985,13101
,5/20/20,,Pakistan,,48091,1017,14155
,5/21/20,,Pakistan,,50694,1067,15201
,5/22/20,,Pakistan,,52437,1101,16653
,5/23/20,,Pakistan,,54601,1133,17198
,5/24/20,,Pakistan,,56349,1167,17482
,5/25/20,,Pakistan,,57705,1197,18314
,5/26/20,,Pakistan,,59151,1225,19142
,5/27/20,,Pakistan,,61227,1260,20231
,5/28/20,,Pakistan,,64028,1317,22305
,5/29/20,,Pakistan,,66457,1395,24131
,5/30/20,,Pakistan,,69496,1483,25271
,5/31/20,,Pakistan,,72460,1543,26083
,06-01-2020,,Pakistan,,76398,1621,27110
,06-02-2020,,Pakistan,,80463,1688,28923
,06-03-2020,,Pakistan,,85264,1770,30128
,06-04-2020,,Pakistan,,89249,1838,31198
,06-05-2020,,Pakistan,,93983,1935,32581
,06-06-2020,,Pakistan,,98943,2002,33465
,06-07-2020,,Pakistan,,103671,2067,34355
,06-08-2020,,Pakistan,,108317,2172,35018
,06-09-2020,,Pakistan,,113702,2255,36308
,06-10-2020,,Pakistan,,119536,2356,36308
,06-11-2020,,Pakistan,,125933,2463,40247
,06-12-2020,,Pakistan,,125933,2463,40247
,6/13/20,,Pakistan,,132405,2551,50056
,6/14/20,,Pakistan,,144478,2729,53721
,6/15/20,,Pakistan,,148921,2839,56390
,6/16/20,,Pakistan,,154760,2975,58437
,6/17/20,,Pakistan,,160118,3093,59215
,6/18/20,,Pakistan,,165062,3229,61383
,6/19/20,,Pakistan,,171666,3382,63504
,6/20/20,,Pakistan,,176617,3501,67892
,6/21/20,,Pakistan,,181088,3590,71458
,6/22/20,,Pakistan,,185034,3695,73471
,6/23/20,,Pakistan,,188926,3755,77754
,6/24/20,,Pakistan,,192970,3903,81307
,6/25/20,,Pakistan,,195745,3962,84168
,6/26/20,,Pakistan,,198883,4035,86906
,6/27/20,,Pakistan,,202955,4118,92624
,6/28/20,,Pakistan,,206512,4167,95407
,6/29/20,,Pakistan,,209337,4304,98503
,6/30/20,,Pakistan,,213470,4395,100802
,07-01-2020,,Pakistan,,217809,4473,104694
,07-02-2020,,Pakistan,,221896,4551,113623
,07-03-2020,,Pakistan,,221896,4551,113623
,07-04-2020,,Pakistan,,225283,4619,125094
,07-05-2020,,Pakistan,,231818,4762,131649
,07-06-2020,,Pakistan,,234509,4839,134957
,07-07-2020,,Pakistan,,237489,4922,140965
,07-08-2020,,Pakistan,,240848,4983,145311
,07-09-2020,,Pakistan,,243599,5058,149092
,07-10-2020,,Pakistan,,246351,5123,153134
,07-11-2020,,Pakistan,,248872,5197,156700
,07-12-2020,,Pakistan,,251625,5266,161917
,7/13/20,,Pakistan,,253604,5320,170656
,7/14/20,,Pakistan,,255769,5386,172810
,7/15/20,,Pakistan,,257914,5426,178737
,7/16/20,,Pakistan,,257914,5426,178737
,7/17/20,,Pakistan,,261917,5522,198509
,7/18/20,,Pakistan,,263496,5568,204276
,7/19/20,,Pakistan,,265083,5599,205929
,7/20/20,,Pakistan,,266096,5639,208030
,7/21/20,,Pakistan,,267428,5677,210468
,7/22/20,,Pakistan,,269191,5709,213175
,7/23/20,,Pakistan,,270400,5763,219783
,7/24/20,,Pakistan,,271887,5787,236596
,7/25/20,,Pakistan,,273113,5822,237434
,7/26/20,,Pakistan,,273113,5822,237434
,7/27/20,,Pakistan,,274289,5842,241026
,7/28/20,,Pakistan,,275225,5865,242436
,7/29/20,,Pakistan,,276288,5892,244883
,7/30/20,,Pakistan,,277402,5924,246131
,7/31/20,,Pakistan,,278305,5951,247177
,08-01-2020,,Pakistan,,278305,5951,247177
,08-02-2020,,Pakistan,,279699,5976,248577
,08-03-2020,,Pakistan,,280461,5999,249397
,08-04-2020,,Pakistan,,280461,5999,249397
,08-05-2020,,Pakistan,,281136,6014,254286
,08-06-2020,,Pakistan,,281863,6035,256058
,08-07-2020,,Pakistan,,282645,6052,258099
,08-08-2020,,Pakistan,,283487,6068,259604
,08-09-2020,,Pakistan,,284121,6082,260248
,08-10-2020,,Pakistan,,284660,6097,260764
,08-11-2020,,Pakistan,,285191,6112,261246
,08-12-2020,,Pakistan,,285921,6129,263193
,8/13/20,,Pakistan,,286674,6139,264060
,8/14/20,,Pakistan,,287300,6153,265215
,8/15/20,,Pakistan,,288047,6162,265624
,8/16/20,,Pakistan,,289215,6175,269087
,8/17/20,,Pakistan,,289215,6175,269087
,8/18/20,,Pakistan,,289832,6190,269989
,8/19/20,,Pakistan,,290445,6201,272128
,8/20/20,,Pakistan,,290958,6209,272804
,8/21/20,,Pakistan,,291588,6219,273579
,8/22/20,,Pakistan,,292174,6231,275317
,8/23/20,,Pakistan,,293261,6244,276829
,8/24/20,,Pakistan,,293261,6244,276829
,8/25/20,,Pakistan,,293711,6255,278425
,8/26/20,,Pakistan,,294193,6267,278939
,8/27/20,,Pakistan,,294638,6274,279561
,8/28/20,,Pakistan,,295053,6283,279937
,8/29/20,,Pakistan,,295372,6284,280340
,8/30/20,,Pakistan,,295636,6288,280547
,8/31/20,,Pakistan,,295849,6294,280682
,09-01-2020,,Pakistan,,296149,6298,280970
,09-02-2020,,Pakistan,,297014,6328,281925
,09-03-2020,,Pakistan,,297512,6335,282268
,09-04-2020,,Pakistan,,298025,6340,282553
,09-05-2020,,Pakistan,,298025,6340,282553
,09-06-2020,,Pakistan,,298903,6345,286016
,09-07-2020,,Pakistan,,299233,6350,286157
,09-08-2020,,Pakistan,,299659,6359,286506
,09-09-2020,,Pakistan,,300030,6365,287658
,09-10-2020,,Pakistan,,300371,6370,288206
,09-11-2020,,Pakistan,,300955,6373,288536
,09-12-2020,,Pakistan,,301481,6379,289429
,9/13/20,,Pakistan,,302020,6383,289806
,9/14/20,,Pakistan,,302424,6389,290261
,9/15/20,,Pakistan,,303089,6393,290760
,9/16/20,,Pakistan,,303634,6399,291169
,9/17/20,,Pakistan,,304386,6408,291683
,9/18/20,,Pakistan,,305031,6415,292044
,9/19/20,,Pakistan,,305671,6416,292303
,9/20/20,,Pakistan,,306304,6420,292869
,9/21/20,,Pakistan,,306886,6424,293159
,9/22/20,,Pakistan,,307418,6432,293916
,9/23/20,,Pakistan,,308217,6437,294392
,9/24/20,,Pakistan,,309015,6444,294740
,9/25/20,,Pakistan,,309581,6451,295333
,9/26/20,,Pakistan,,310275,6457,295613
,9/27/20,,Pakistan,,310841,6466,296022
,9/28/20,,Pakistan,,311516,6474,296340
,9/29/20,,Pakistan,,312263,6479,296881
,9/30/20,,Pakistan,,312806,6484,297497
