No,ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,
,04/10/21,,,Pakistan,,721018,15443,631700
,04/11/21,,,Pakistan,,725602,15501,634835
,04/12/21,,,Pakistan,,729920,15619,638267
,04/13/21,,,Pakistan,,734423,15754,641912
,04/14/21,,,Pakistan,,739818,15872,646652
,04/15/21,,,Pakistan,,745182,15982,650775
,04/16/21,,,Pakistan,,750158,16094,654956
,04/17/21,,,Pakistan,,756285,16243,659483
,04/18/21,,,Pakistan,,761437,16316,662845
,04/19/21,,,Pakistan,,766882,16453,667131
,04/20/21,,,Pakistan,,772381,16600,672619
,04/21/21,,,Pakistan,,778238,16698,676605
,04/22/21,,,Pakistan,,784108,16842,682290
,04/23/21,,,Pakistan,,790016,16999,686488
,04/24/21,,,Pakistan,,795627,17117,689812
,04/25/21,,,Pakistan,,800452,17187,694046
,04/26/21,,,Pakistan,,804939,17329,699816
,04/27/21,,,Pakistan,,810231,17530,704494
,04/28/21,,,Pakistan,,815711,17680,708193
,04/29/21,,,Pakistan,,820823,17811,711465
,04/30/21,,,Pakistan,,825519,17957,717009
,05/01/21,,,Pakistan,,829933,18070,722202
,05/02/21,,,Pakistan,,834146,18149,728044
,05/03/21,,,Pakistan,,837523,18310,733062
,05/04/21,,,Pakistan,,837523,18310,733062
,05/05/21,,,Pakistan,,841636,18429,738727
,05/06/21,,,Pakistan,,850131,18677,747755
,05/07/21,,,Pakistan,,854240,18797,752712
,05/08/21,,,Pakistan,,858026,18915,757281
,05/09/21,,,Pakistan,,861473,18993,762105
,05/10/21,,,Pakistan,,864557,19106,766492
,05/11/21,,,Pakistan,,867438,19210,771692
,05/12/21,,,Pakistan,,870703,19336,776315
,05/13/21,,,Pakistan,,873220,19384,780438
,05/14/21,,,Pakistan,,874751,19467,783480
,05/15/21,,,Pakistan,,877130,19543,788768
,05/16/21,,,Pakistan,,880362,19617,792522
,05/17/21,,,Pakistan,,882928,19752,795511
,05/18/21,,,Pakistan,,886184,19856,799951
,05/19/21,,,Pakistan,,890391,19987,804122
,05/20/21,,,Pakistan,,893461,20089,810143
,05/21/21,,,Pakistan,,897468,20177,813855
,05/22/21,,,Pakistan,,900552,20251,817681
,05/23/21,,,Pakistan,,903599,20308,820374
,05/24/21,,,Pakistan,,905852,20400,823157
,05/25/21,,,Pakistan,,908576,20465,827843
,05/26/21,,,Pakistan,,911302,20540,831744
,05/27/21,,,Pakistan,,913784,20607,834566
,05/28/21,,,Pakistan,,916239,20680,836702
,05/29/21,,,Pakistan,,918936,20736,839322
,05/30/21,,,Pakistan,,921053,20779,841241
,05/31/21,,,Pakistan,,922824,20850,844638
,06/01/21,,,Pakistan,,924667,20930,848685
,06/02/21,,,Pakistan,,926695,21022,852574
,06/03/21,,,Pakistan,,928588,21105,856005
,06/04/21,,,Pakistan,,930511,21189,860385
,06/05/21,,,Pakistan,,932140,21265,863111
,06/06/21,,,Pakistan,,933630,21323,864931
,06/07/21,,,Pakistan,,935013,21376,867447
,06/08/21,,,Pakistan,,936131,21453,869691
,06/09/21,,,Pakistan,,937434,21529,871669
,06/10/21,,,Pakistan,,938737,21576,873543
,06/11/21,,,Pakistan,,939931,21633,875581
,06/12/21,,,Pakistan,,941170,21689,877191
,06/13/21,,,Pakistan,,942189,21723,878740
,06/14/21,,,Pakistan,,943027,21782,880316
,06/15/21,,,Pakistan,,944065,21828,882332
,06/16/21,,,Pakistan,,945184,21874,887095
,06/17/21,,,Pakistan,,946227,21913,888505
,06/18/21,,,Pakistan,,947218,21940,889787
,06/19/21,,,Pakistan,,947218,21940,889787
,06/20/21,,,Pakistan,,949175,22007,893148
,06/21/21,,,Pakistan,,949838,22034,894352
,06/22/21,,,Pakistan,,950768,22073,895690
,06/23/21,,,Pakistan,,951865,22108,896821
,06/24/21,,,Pakistan,,952907,22152,897834
,06/25/21,,,Pakistan,,953842,22188,898944
,06/26/21,,,Pakistan,,954743,22211,900291
,06/27/21,,,Pakistan,,955657,22231,901201
,06/28/21,,,Pakistan,,956392,22254,901985
,06/29/21,,,Pakistan,,957371,22281,903484
,06/30/21,,,Pakistan,,958408,22321,904320
,07/01/21,,,Pakistan,,959685,22345,905430
,07/02/21,,,Pakistan,,961085,22379,906387
,07/03/21,,,Pakistan,,962313,22408,907284
,07/04/21,,,Pakistan,,963660,22427,907934
,07/05/21,,,Pakistan,,964490,22452,908648
,07/06/21,,,Pakistan,,966007,22469,909525
,07/07/21,,,Pakistan,,967633,22493,910609
,07/08/21,,,Pakistan,,969476,22520,911383
,07/09/21,,,Pakistan,,971304,22555,912295
,07/10/21,,,Pakistan,,973284,22582,913203
,07/11/21,,,Pakistan,,975092,22597,913873
,07/12/21,,,Pakistan,,976867,22618,914605
,07/13/21,,,Pakistan,,978847,22642,915343
,07/14/21,,,Pakistan,,981392,22689,916373
,07/15/21,,,Pakistan,,983719,22720,917329
,07/16/21,,,Pakistan,,986668,22760,918329
,07/17/21,,,Pakistan,,989275,22781,919163
,07/18/21,,,Pakistan,,991727,22811,920066
,07/19/21,,,Pakistan,,993872,22848,921095
,07/20/21,,,Pakistan,,996451,22888,922034
,07/21/21,,,Pakistan,,998609,22928,922929
,07/22/21,,,Pakistan,,1000034,22939,923472
,07/23/21,,,Pakistan,,1000034,22939,923472
