No,ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,,,
,4/10/2021,,Pakistan,,1368161,15443,631700,,1368161,721018
,4/11/2021,,Pakistan,,1375938,15501,634835,,1375938,725602
,4/12/2021,,Pakistan,,1383806,15619,638267,,1383806,729920
,4/13/2021,,Pakistan,,1392089,15754,641912,,1392089,734423
,4/14/2021,,Pakistan,,1402342,15872,646652,,1402342,739818
,4/15/2021,,Pakistan,,1411939,15982,650775,,1411939,745182
,4/16/2021,,Pakistan,,1421208,16094,654956,,1421208,750158
,4/17/2021,,Pakistan,,1432011,16243,659483,,1432011,756285
,4/18/2021,,Pakistan,,1440598,16316,662845,,1440598,761437
,4/19/2021,,Pakistan,,1450466,16453,667131,,1450466,766882
,4/20/2021,,Pakistan,,1461600,16600,672619,,1461600,772381
,4/21/2021,,Pakistan,,1471541,16698,676605,,1471541,778238
,4/22/2021,,Pakistan,,1483240,16842,682290,,1483240,784108
,4/23/2021,,Pakistan,,1493503,16999,686488,,1493503,790016
,4/24/2021,,Pakistan,,1502556,17117,689812,,1502556,795627
,4/25/2021,,Pakistan,,1511685,17187,694046,,1511685,800452
,4/26/2021,,Pakistan,,1522084,17329,699816,,1522084,804939
,4/27/2021,,Pakistan,,1532255,17530,704494,,1532255,810231
,4/28/2021,,Pakistan,,1541584,17680,708193,,1541584,815711
,4/29/2021,,Pakistan,,1550099,17811,711465,,1550099,820823
,4/30/2021,,Pakistan,,1560485,17957,717009,,1560485,825519
,5/1/2021,,Pakistan,,1570205,18070,722202,,1570205,829933
,5/2/2021,,Pakistan,,1580339,18149,728044,,1580339,834146
,5/3/2021,,Pakistan,,1588895,18310,733062,,1588895,837523
,5/4/2021,,Pakistan,,1588895,18310,733062,,1588895,837523
,5/5/2021,,Pakistan,,1598792,18429,738727,,1598792,841636
,5/6/2021,,Pakistan,,1616563,18677,747755,,1616563,850131
,5/7/2021,,Pakistan,,1625749,18797,752712,,1625749,854240
,5/8/2021,,Pakistan,,1634222,18915,757281,,1634222,858026
,5/9/2021,,Pakistan,,1642571,18993,762105,,1642571,861473
,5/10/2021,,Pakistan,,1650155,19106,766492,,1650155,864557
,5/11/2021,,Pakistan,,1658340,19210,771692,,1658340,867438
,5/12/2021,,Pakistan,,1666354,19336,776315,,1666354,870703
,5/13/2021,,Pakistan,,1673042,19384,780438,,1673042,873220
,5/14/2021,,Pakistan,,1677698,19467,783480,,1677698,874751
,5/15/2021,,Pakistan,,1685441,19543,788768,,1685441,877130
